@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute outputs-1 {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44}

@data
517,'2020/10/15 21:39:17:889',556,10.58025,-0.67079,0.009535,1194.057739,-179.995682,19.078321,11.578756,4.968127,-0.504166,5.658338,0.539982,-0.081216,2.303735,0.566143,-0.0578,33
518,'2020/10/15 21:39:18:656',557,17.275459,-1.251966,0.053686,1339.007813,-2.951377,0.166584,12.350086,-0.314669,0.012918,5.753634,-0.410655,0.023486,2.628488,-0.064807,0.002159,34
519,'2020/10/15 21:39:19:190',558,9.216917,0.301793,-0.113689,1625.473511,-37.130035,-2.979952,13.225277,-3.923948,0.578836,3.759156,0.769786,-0.094959,2.075033,-0.252644,0.045242,35
520,'2020/10/15 21:39:19:915',559,14.266512,-0.831657,0.047639,1071.187012,-11.910456,2.568977,18.261959,0.555145,-0.078349,5.854135,-0.42708,0.027783,3.054791,0.051049,-0.008891,36
521,'2020/10/15 21:39:20:480',560,12.061237,-1.520266,0.090537,1517.523315,-182.551376,15.801893,3.256745,4.172544,-0.333845,6.540305,-0.782251,0.071283,1.265727,0.504697,-0.040262,37
522,'2020/10/15 21:39:21:024',561,17.681204,-0.015797,-0.173609,1453.018799,-195.255692,21.427483,2.722804,10.536528,-1.073789,2.247873,1.995932,-0.200216,1.472886,1.001089,-0.105059,38
523,'2020/10/15 21:39:21:739',562,17.00808,-1.528766,0.074938,1208.776001,-39.889191,1.697721,18.790718,1.761536,-0.069635,9.883145,-0.674908,0.028075,3.112651,0.115407,-0.004671,39
524,'2020/10/15 21:39:22:485',563,15.748468,-1.606123,0.078328,790.99707,25.039637,-1.660268,55.879173,-5.842787,0.389669,7.453159,-1.186776,0.08045,5.54329,-0.347203,0.021244,40
525,'2020/10/15 21:39:23:082',564,17.693007,-3.386235,0.238748,669.445923,-39.852394,10.195822,114.117165,-8.028187,-0.136154,10.986121,-1.770663,0.100586,7.767363,-0.194956,-0.029108,41
526,'2020/10/15 21:39:23:680',565,22.512932,-3.709324,0.211964,956.867615,75.87368,-4.508517,50.638489,-4.255135,0.20136,5.687101,-0.042306,-0.003001,5.499835,-0.38273,0.020297,42
527,'2020/10/15 21:39:24:480',566,13.913311,-1.19779,0.060392,900.114014,27.454897,-1.448402,79.336281,-5.896774,0.272499,11.401685,-1.145988,0.043439,6.843843,-0.373286,0.016641,43
528,'2020/10/15 21:39:25:077',567,15.615469,-2.397919,0.145336,796.939636,64.567741,-5.08648,71.43737,-8.186558,0.482421,7.222994,-1.350281,0.120425,6.354779,-0.526049,0.033476,44
529,'2020/10/15 21:39:25:621',568,14.207146,-0.487048,-0.093411,687.000366,0.195035,10.590602,89.088303,-10.109962,0.128515,9.474071,1.175394,-0.197242,7.505279,-0.598869,-0.00251,1
530,'2020/10/15 21:39:26:304',569,12.777936,-1.3053,0.115998,1956.565796,-143.04097,16.834028,7.221367,1.422909,-0.120103,5.464756,0.480431,-0.0375,1.942994,0.119002,-0.014142,2
531,'2020/10/15 21:39:26:816',570,14.470196,6.340698,-0.838304,3183.498047,242.237823,-30.393129,3.592024,-0.401027,0.046236,8.479998,-0.012644,-0.064145,0.928265,-0.161194,0.017842,3
532,'2020/10/15 21:39:27:701',571,4.681266,1.054709,-0.013831,2030.038574,73.732788,0.703306,6.187896,0.100197,-0.01326,2.704922,0.170853,-0.00337,1.314728,0.015473,-0.002808,4
533,'2020/10/15 21:39:28:245',572,15.921944,2.776264,-0.435094,3310.747559,290.119049,-35.275192,3.462858,-0.767407,0.100705,4.526377,-0.206566,0.016779,0.696686,-0.202858,0.026595,5
534,'2020/10/15 21:39:29:195',573,12.111686,0.030354,0.003428,2058.694336,356.09552,-6.776887,4.207288,-0.083497,0.000426,3.431456,0.000857,0.000342,1.727514,-0.232019,0.004719,6
535,'2020/10/15 21:39:30:187',574,11.216666,-0.025891,0.016635,7804.40625,-436.093231,10.375347,2.22313,0.212378,-0.005884,5.280788,-0.099377,0.001489,-2.023074,0.31065,-0.007304,7
536,'2020/10/15 21:39:30:741',575,14.702435,3.41017,-0.487806,2539.761475,594.108704,-71.440773,6.724679,-1.471961,0.154846,5.625873,0.236941,-0.064038,1.882137,-0.362306,0.035817,8
537,'2020/10/15 21:39:31:274',576,7.741572,3.292901,-0.390266,2728.343506,-432.798492,35.627869,-4.480583,7.062461,-0.597714,2.011979,1.552811,-0.15004,0.198585,0.889146,-0.076168,9
538,'2020/10/15 21:39:31:797',577,-2.088961,9.523174,-1.017361,2165.713623,-8.254805,-15.209881,6.126023,-0.217073,0.186626,-0.614362,3.971674,-0.429186,1.677401,-0.112451,0.035098,10
539,'2020/10/15 21:39:32:608',578,9.119053,-0.113066,0.021947,1587.641968,-114.890633,4.882761,10.765111,2.216613,-0.118534,6.062496,-0.291497,0.013391,1.986878,0.288921,-0.013652,11
540,'2020/10/15 21:39:33:078',579,15.855591,-0.395271,0.000889,1158.259399,-23.249651,6.070299,8.873944,0.684978,-0.107164,5.969096,0.491027,-0.08001,2.48846,0.082036,-0.016836,12
541,'2020/10/15 21:39:33:963',580,3.887849,0.557027,0.001902,1801.504272,-87.313232,3.455274,8.733237,0.88667,-0.047087,2.753122,0.184744,-0.001495,1.870631,0.15432,-0.007193,13
542,'2020/10/15 21:39:34:506',581,12.396051,2.703376,-0.38223,2229.716064,-188.605087,24.789532,5.755957,-0.486654,0.04906,5.70488,0.729414,-0.101413,1.329888,0.074368,-0.009563,14
543,'2020/10/15 21:39:35:371',582,14.75136,-0.88095,0.0458,4970.99707,-624.571594,26.351627,-1.901858,2.705196,-0.118345,3.368509,0.149656,-0.000635,-0.195407,0.504394,-0.022927,15
544,'2020/10/15 21:39:36:277',583,14.60557,-0.608025,0.037541,4690.928711,-343.721313,10.455569,0.245045,0.671517,-0.022302,6.640533,-0.210955,0.007831,-0.623992,0.27762,-0.00853,16
545,'2020/10/15 21:39:36:757',584,17.84067,-0.569805,0.011917,2128.862305,159.189789,-19.780836,5.050871,-0.234623,0.007388,6.792292,-0.814021,0.124178,1.470034,-0.059916,0.002507,17
546,'2020/10/15 21:39:37:557',585,5.171929,0.263976,0.00509,1645.331421,-90.667091,2.063915,10.478597,1.818911,-0.025852,2.316624,0.392434,-0.008741,2.500358,0.145431,-0.000996,18
547,'2020/10/15 21:39:38:378',586,10.714703,-0.706611,0.038422,729.085205,12.536934,-0.922568,36.597797,-1.87898,0.123077,5.971862,-0.332614,0.019656,4.862385,-0.143307,0.009359,19
548,'2020/10/15 21:39:39:242',587,9.502447,-0.286076,0.019638,635.573975,30.974499,-1.222056,41.309021,-2.071035,0.089624,7.196942,-0.369792,0.016514,5.35544,-0.198033,0.007967,20
549,'2020/10/15 21:39:39:989',588,12.768865,-1.23585,0.073055,515.999084,81.446449,-3.892944,40.970623,-0.121909,0.03573,6.677261,-0.521987,0.030447,5.312495,-0.127355,0.007489,21
550,'2020/10/15 21:39:40:789',589,12.695582,-0.914308,0.048324,491.284119,114.216545,-4.448043,56.748699,-5.831132,0.182123,5.627572,-0.203242,0.011853,5.951731,-0.447332,0.014449,22
551,'2020/10/15 21:39:41:376',590,12.704709,-1.003247,0.017836,426.815063,183.552795,-11.657537,23.620075,-2.94382,0.247728,8.121894,-0.463873,0.003083,4.115605,-0.361426,0.028291,23
552,'2020/10/15 21:39:41:941',591,0.785668,3.872702,-0.36338,386.379639,35.219723,6.401762,42.649475,10.266658,-1.3691,9.432622,-1.380418,0.121337,6.137159,0.163879,-0.055454,24
553,'2020/10/15 21:39:42:623',592,8.651604,-0.299978,0.024632,1185.433838,-59.800419,5.103123,7.604013,2.401942,-0.152738,6.456226,-0.437661,0.026967,2.252448,0.193013,-0.013149,25
554,'2020/10/15 21:39:43:444',593,13.836038,-0.912214,0.036241,1063.234497,-4.85222,0.024258,23.932043,-0.117692,0.013571,5.756583,0.085021,-0.001575,3.691143,-0.049715,0.002187,26
